image,sensitivity,specificity,accuracy,f1,TP,TN,FP,FN
21_training.tif,0.36669371196754563,0.9774371734262254,0.9107047872340426,0.47296130601993563,9039,196416,4534,15611
22_training.tif,0.3628523489932886,0.9771585660430753,0.896756937185422,0.47916158908116013,10813,193366,4520,18987
23_training.tif,0.37943262411347517,0.9562315653862733,0.9013440730628827,0.4226211849192101,8239,197436,9037,13475
24_training.tif,0.3660342797330891,0.9783600951923636,0.8756048936002038,0.496874111963626,13988,185410,4101,24227
25_training.tif,0.3583564931783729,0.9665505012825885,0.8818492096304572,0.45793732469681375,11347,189152,6546,20317
26_training.tif,0.475923770730288,0.9121287880321464,0.8588443836298048,0.4516696867719389,13086,180233,17363,14410
27_training.tif,0.4163599463382753,0.9688913486453171,0.8983873657967045,0.5111702352295283,12104,192572,6183,16967
28_training.tif,0.4664845229594213,0.9460224069537408,0.8780787148029051,0.5202021950628397,15025,184586,10532,17184
29_training.tif,0.43218689162881246,0.9476026075932876,0.8847076006669335,0.4777713568339876,11988,189114,10457,15750
30_training.tif,0.32735633960660043,0.9794023299003883,0.9051566714629563,0.440097672485453,8471,197234,4148,17406
31_training.tif,0.37548374126752776,0.973373948528421,0.9211290244662957,0.4541503297772104,7471,202271,5533,12426
32_training.tif,0.3540584656477222,0.9789734731397862,0.9040872394907177,0.4694193738779726,9544,193825,4163,17412
33_training.tif,0.38685857790771766,0.9701430923261332,0.9018126092263917,0.4800130223472781,10321,195056,6003,16358
34_training.tif,0.4846222938024592,0.8117680368587681,0.7651428874116057,0.3703475780778471,15647,157690,36565,16640
35_training.tif,0.5457500349503704,0.9147030155651799,0.8683306537343067,0.510260767270113,15615,182057,16977,12997
36_training.tif,0.41372199308884183,0.9536723931574793,0.8683989314179837,0.4982380776588247,14846,182469,8864,21038
37_training.tif,0.5396484171838701,0.8939726234591242,0.8489915751850906,0.4757087185756858,15564,177315,21030,13277
38_training.tif,0.3914738209783334,0.9489145220913592,0.878744076667374,0.448368089770145,11148,187645,10102,17329
39_training.tif,0.3506772964583039,0.95913355297521,0.8833025586916381,0.42825141084737,9941,190975,8137,18407
40_training.tif,0.53716,0.9176725717171517,0.875761100390353,0.4878217120438818,13429,185346,16628,11571
