image,sensitivity,specificity,accuracy,f1,TP,TN,FP,FN
21_training.tif,0.6502231237322516,0.7937148544414033,0.7780363475177305,0.3903032959540247,16028,159497,41453,8622
22_training.tif,0.5678523489932886,0.6512183782581891,0.6403072652688352,0.2924115049982288,16922,128867,69019,12878
23_training.tif,0.3122409505388229,0.9269105403612095,0.8684193227484476,0.3111162097051738,6780,191382,15091,14934
24_training.tif,0.35543634698416854,0.8855422640374437,0.7965844918893759,0.36966076555675,13583,167820,21691,24632
25_training.tif,0.7936141990904497,0.4393504276998232,0.4886876434936357,0.3018299091351322,25129,85980,109718,6535
26_training.tif,0.9719231888274659,0.05840199194315675,0.16999271409023867,0.2224441891824402,26724,11540,186056,772
27_training.tif,0.4688865192115854,0.7626826998062942,0.725193788241904,0.3033492822966507,13631,151587,47168,15440
28_training.tif,0.6837840355180229,0.6730696296600006,0.6745877084552209,0.3732153902205502,22024,131328,63790,10185
29_training.tif,0.8309178743961353,0.32020183293163834,0.38252334927345594,0.2472245165027299,23048,63903,135668,4690
30_training.tif,0.9639448158596436,0.07530961059081745,0.17649466027748076,0.21046503288516138,24944,15166,186216,933
31_training.tif,0.6505000753882495,0.6264605108660084,0.6285611393889355,0.23434091053112807,12943,130181,77623,6954
32_training.tif,0.5704852351981006,0.7533032304988181,0.7313953695141902,0.33732191232438,15378,149145,48843,11578
33_training.tif,0.5915888901383111,0.84151418240417,0.8122359904802887,0.42469089294603574,15783,169194,31865,10896
34_training.tif,0.7329265648713105,0.4214460374250341,0.4658385641514598,0.28114864142380214,23664,81868,112387,8623
35_training.tif,0.7503495037047393,0.5095963503722982,0.5398557409310948,0.2907345214235415,21469,101427,97607,7143
36_training.tif,0.8443038680191729,0.4498544422551259,0.5121491789786856,0.35343731407706397,30297,86072,105261,5587
37_training.tif,0.8255261606740404,0.41137916257026896,0.46395464509256734,0.2810979929161747,23809,81595,116750,5032
38_training.tif,0.6648874530322717,0.7828639625379905,0.768013119739727,0.4191302615413563,18934,154809,42938,9543
39_training.tif,0.8646112600536193,0.4950480131785126,0.5411061285500748,0.3195567144719687,24510,98570,100542,3838
40_training.tif,0.961,0.15345044411656947,0.2423978076784125,0.21840313445996928,24025,30993,170981,975
