image,sensitivity,specificity,accuracy,f1,TP,TN,FP,FN
21_training.tif,0.5135496957403651,0.9576461806419507,0.9091223404255319,0.5525534701003928,12659,192439,8511,11991
22_training.tif,0.5047651006711409,0.9434977714441648,0.8860755602013299,0.5369937347160988,15042,186705,11181,14758
23_training.tif,0.44234134659666574,0.9283732013386738,0.882122995613247,0.4166305196495185,9605,191684,14789,12109
24_training.tif,0.44608138165641764,0.9477233511511205,0.8635421515329826,0.5231628535039666,17047,179604,9907,21168
25_training.tif,0.5288024254674077,0.9187012641927869,0.8644012631838214,0.5206629559376846,16744,179788,15910,14920
26_training.tif,0.8948210648821647,0.7156470778760704,0.7375339861034599,0.4544220451208363,24604,141409,56187,2892
27_training.tif,0.5234082074920023,0.9382807979673468,0.8853423226497414,0.5381051738161757,15216,186488,12267,13855
28_training.tif,0.6692539352354931,0.9028485326827869,0.8697515033410022,0.5928411325476822,21556,176162,18956,10653
29_training.tif,0.7945057322085226,0.8052322231185893,0.8039232938423028,0.4972136362610834,22038,160701,38870,5700
30_training.tif,0.740966881786915,0.8360479089491613,0.8252214433751799,0.4912127888507455,19174,168365,33017,6703
31_training.tif,0.531537417701161,0.9423302727570211,0.9064343151764814,0.49819817697906116,10576,195820,11984,9321
32_training.tif,0.47499629025077905,0.958623754975049,0.9006686108542571,0.534034034034034,12804,189796,8192,14152
33_training.tif,0.5496083061584017,0.9391671101517465,0.8935311630031001,0.547402609523454,14663,188828,12231,12016
34_training.tif,0.6613497692569765,0.7153947131347971,0.7076921718709996,0.39206433725648604,21353,138969,55286,10934
35_training.tif,0.7843212638053964,0.8448707256046706,0.8372604833820932,0.5478157917221008,22441,168158,30876,6171
36_training.tif,0.6884126630253038,0.8793412532077582,0.8491882209517774,0.590465263585625,24703,168247,23086,11181
37_training.tif,0.8167539267015707,0.790249313065618,0.7936140431188542,0.5011914893617021,23556,156742,41603,5285
38_training.tif,0.5317975910383819,0.922957111865161,0.873718084730179,0.5146119342123148,15144,182512,15235,13333
39_training.tif,0.579300126993086,0.9179657680099642,0.8757583750989185,0.5375098193244304,16422,182778,16334,11926
40_training.tif,0.89232,0.764920237258261,0.7789526553702186,0.47069249272059754,22308,154494,47480,2692
