image,sensitivity,specificity,accuracy,f1,TP,TN,FP,FN
21_training.tif,0.6587423935091278,0.8454242348842996,0.8250265957446808,0.4513690062543433,16238,169888,31062,8412
22_training.tif,0.6465436241610738,0.8290429843445216,0.8051571023251319,0.4648419122525544,19267,164056,33830,10533
23_training.tif,0.6590678824721378,0.8100187433708039,0.7956544413134841,0.38035374945183453,14311,167247,39226,7403
24_training.tif,0.6105717650137381,0.8096311032077294,0.7762266934825185,0.4780128040973111,23333,153434,36077,14882
25_training.tif,0.6019770085901971,0.8267687968195894,0.7954627422348501,0.4504762129841893,19061,161797,33901,12603
26_training.tif,0.8300843759092231,0.6330543128403409,0.6571224210545021,0.37164467095996806,22824,125089,72507,4672
27_training.tif,0.6953665164597022,0.8083469598249101,0.7939304556986472,0.4627022820389572,20215,160663,38092,8856
28_training.tif,0.7838181874631315,0.7357906497606577,0.7425954682021934,0.46319961103415375,25246,143566,51552,6963
29_training.tif,0.8525849015790612,0.6545139323849658,0.6786840820205096,0.3930494615077782,23649,130622,68949,4089
30_training.tif,0.5739073308343317,0.8575791282239723,0.8252786468302685,0.42792721405005113,14851,172701,28681,11026
31_training.tif,0.6557269940191989,0.8442811495447633,0.827804884475694,0.39958348008514155,13047,175445,32359,6850
32_training.tif,0.6058762427659891,0.8600470735600138,0.8295886976314105,0.4600757778497683,16332,170279,27709,10624
33_training.tif,0.6694778664867499,0.8092400738091804,0.7928672421818054,0.4309358940333438,17861,162705,38354,8818
34_training.tif,0.5488277015517081,0.7919332835705645,0.7572856247406662,0.3919270113353608,17720,153837,40418,14567
35_training.tif,0.8525793373409758,0.6811097601414834,0.7026611493283431,0.4188674061609259,24394,135564,63470,4218
36_training.tif,0.6984171218370304,0.7549821515368493,0.7460489311979297,0.4648600523064938,25062,144453,46880,10822
37_training.tif,0.8660934086890191,0.6164511331266228,0.6481429313426004,0.3846029485353555,24979,122270,76075,3862
38_training.tif,0.6489096463812901,0.7931296050003287,0.7749752457741,0.42062733315123374,18479,156839,40908,9998
39_training.tif,0.6759912515874136,0.775352565390333,0.7629693132858525,0.41549853102199674,19163,154382,44730,9185
40_training.tif,0.858,0.6573469852555279,0.6794478662754324,0.3709243712010514,21450,132767,69207,3550
