method,image,auc
Canny,im0001.ppm.gz,0.47705902434148617
Canny,im0002.ppm.gz,0.48414245392497446
Canny,im0003.ppm.gz,0.4681430277054321
Canny,im0004.ppm.gz,0.5030121129060382
Canny,im0005.ppm.gz,0.506238310788781
Canny,im0044.ppm.gz,0.48257609469768026
Canny,im0077.ppm.gz,0.4698930688483469
Canny,im0081.ppm.gz,0.46799284424761806
Canny,im0082.ppm.gz,0.46625468399851383
Canny,im0139.ppm.gz,0.4762907700259412
Canny,im0162.ppm.gz,0.47235834896531526
Canny,im0163.ppm.gz,0.4635412790332326
Canny,im0235.ppm.gz,0.48034320894595967
Canny,im0236.ppm.gz,0.48154625712503274
Canny,im0239.ppm.gz,0.4717916823525971
Canny,im0240.ppm.gz,0.4860494266533712
Canny,im0255.ppm.gz,0.4968859096873557
Canny,im0291.ppm.gz,0.4870799724900797
Canny,im0319.ppm.gz,0.474377021472819
Canny,im0324.ppm.gz,0.4687335472496364
Gabor,im0001.ppm.gz,0.7176071386974658
Gabor,im0002.ppm.gz,0.7049279014069814
Gabor,im0003.ppm.gz,0.7094828712169157
Gabor,im0004.ppm.gz,0.6235832384470039
Gabor,im0005.ppm.gz,0.7958903755734239
Gabor,im0044.ppm.gz,0.7991354537670305
Gabor,im0077.ppm.gz,0.8178506882686246
Gabor,im0081.ppm.gz,0.7861183056114669
Gabor,im0082.ppm.gz,0.8064838702673164
Gabor,im0139.ppm.gz,0.8071155548340102
Gabor,im0162.ppm.gz,0.8657736056139071
Gabor,im0163.ppm.gz,0.8389690287024458
Gabor,im0235.ppm.gz,0.8013613316582482
Gabor,im0236.ppm.gz,0.7924260918440817
Gabor,im0239.ppm.gz,0.7411692150473871
Gabor,im0240.ppm.gz,0.6835531992375146
Gabor,im0255.ppm.gz,0.8459447454328821
Gabor,im0291.ppm.gz,0.7797535682298249
Gabor,im0319.ppm.gz,0.7652644487803224
Gabor,im0324.ppm.gz,0.58470358739663
Color Threshold,im0001.ppm.gz,0.817280242638451
Color Threshold,im0002.ppm.gz,0.6771333909127446
Color Threshold,im0003.ppm.gz,0.8754001349326703
Color Threshold,im0004.ppm.gz,0.6854571486531901
Color Threshold,im0005.ppm.gz,0.8010438650039107
Color Threshold,im0044.ppm.gz,0.7733005276369156
Color Threshold,im0077.ppm.gz,0.8702208101578784
Color Threshold,im0081.ppm.gz,0.8255279441626245
Color Threshold,im0082.ppm.gz,0.8846102475129878
Color Threshold,im0139.ppm.gz,0.8132970713557528
Color Threshold,im0162.ppm.gz,0.8826576402111279
Color Threshold,im0163.ppm.gz,0.9342174369575804
Color Threshold,im0235.ppm.gz,0.817587817572829
Color Threshold,im0236.ppm.gz,0.7968412958053828
Color Threshold,im0239.ppm.gz,0.838077465780825
Color Threshold,im0240.ppm.gz,0.7717651512700594
Color Threshold,im0255.ppm.gz,0.7640077118329471
Color Threshold,im0291.ppm.gz,0.6973406192386227
Color Threshold,im0319.ppm.gz,0.7492273190493659
Color Threshold,im0324.ppm.gz,0.7893923798678413
Fusion (weighted),im0001.ppm.gz,0.8318573679931774
Fusion (weighted),im0002.ppm.gz,0.7878608457161385
Fusion (weighted),im0003.ppm.gz,0.8524815519205879
Fusion (weighted),im0004.ppm.gz,0.8001243065986401
Fusion (weighted),im0005.ppm.gz,0.8762595917588566
Fusion (weighted),im0044.ppm.gz,0.859086713550312
Fusion (weighted),im0077.ppm.gz,0.8963551950018935
Fusion (weighted),im0081.ppm.gz,0.9077598707010558
Fusion (weighted),im0082.ppm.gz,0.9020044641260455
Fusion (weighted),im0139.ppm.gz,0.8854069854089901
Fusion (weighted),im0162.ppm.gz,0.9267547942702942
Fusion (weighted),im0163.ppm.gz,0.9123719277215786
Fusion (weighted),im0235.ppm.gz,0.8989474059033987
Fusion (weighted),im0236.ppm.gz,0.8853306320579112
Fusion (weighted),im0239.ppm.gz,0.8761631380187542
Fusion (weighted),im0240.ppm.gz,0.8661467504542739
Fusion (weighted),im0255.ppm.gz,0.9094608496124938
Fusion (weighted),im0291.ppm.gz,0.8469371035985844
Fusion (weighted),im0319.ppm.gz,0.8674455103545694
Fusion (weighted),im0324.ppm.gz,0.8307626914649091
