image,sensitivity,specificity,accuracy,f1,TP,TN,FP,FN
im0001.ppm.gz,0.3896564987129797,0.8525827485158792,0.8023107866699225,0.29976783356853465,13170,236538,40899,20629
im0002.ppm.gz,0.335236136718196,0.868874941225083,0.8201569257062952,0.25392775614341345,9455,243921,36811,18749
im0003.ppm.gz,0.22998619057013217,0.8961144994487167,0.8419934027677601,0.19127781059263635,5829,256830,29774,19516
im0004.ppm.gz,0.2223319528512265,0.9836980071296185,0.905600632640457,0.32577136722214445,6979,270152,4477,24411
im0005.ppm.gz,0.39195441357137256,0.9252676064576509,0.8598300795720237,0.40695307623415744,14995,253094,20442,23262
im0044.ppm.gz,0.3817127746135069,0.9140705738697974,0.8684206701068392,0.33223169760099147,11259,287456,27023,18237
im0077.ppm.gz,0.46205067766647023,0.8710784100624557,0.82629300332929,0.3680831837012522,15682,240449,35587,18258
im0081.ppm.gz,0.42008034669281624,0.9273788360358419,0.8756555225151423,0.4078999907853918,13280,258224,20221,18333
im0082.ppm.gz,0.4297208045631942,0.8998121432614958,0.8494055992454507,0.379631348627503,14314,249553,27786,18996
im0139.ppm.gz,0.35384796077164754,0.9233524381269327,0.8607665599669575,0.35838872284427,12051,254704,21143,22006
im0162.ppm.gz,0.5841285619615639,0.9148372850833941,0.8826470057021958,0.4921277427279326,17629,256041,23835,12551
im0163.ppm.gz,0.4067051387743886,0.9168796209891609,0.8632178333884658,0.38480427560306224,13320,255461,23159,19431
im0235.ppm.gz,0.3822811671087533,0.9211635377678229,0.8554478760981795,0.3920992491021874,14412,250048,21400,23288
im0236.ppm.gz,0.41979299736684306,0.8952917698362837,0.8362567042243492,0.38897478017199727,16102,242257,28333,22255
im0239.ppm.gz,0.38675453227967516,0.9338919111810243,0.8695938585526211,0.4107448816611006,14144,256471,18155,22427
im0240.ppm.gz,0.31796178939737624,0.9487376072037943,0.8613997312567793,0.38848571428571427,13597,252442,13640,29166
im0255.ppm.gz,0.5799277102076352,0.9061012293769168,0.8661568186517783,0.5148558914120417,21981,246098,25503,15922
im0291.ppm.gz,0.26066859650761043,0.9858570293167297,0.9356802036524341,0.3593126528510748,5583,284054,4075,15835
im0319.ppm.gz,0.27267744587558235,0.9794623877117191,0.9378519223633048,0.3406367682300582,4975,285670,5990,13270
im0324.ppm.gz,0.14185626835568452,0.9773951550435579,0.9014656514077714,0.20739246268849745,4009,276336,6391,24252
