image,sensitivity,specificity,accuracy,f1,TP,TN,FP,FN
im0001.ppm.gz,0.9120388177165005,0.48726377519941466,0.5333926666580987,0.2980128288789957,30826,135185,142252,2973
im0002.ppm.gz,0.8209119273861863,0.426495732584814,0.4625035606080224,0.2180563011518285,23153,119731,161001,5051
im0003.ppm.gz,0.8104951666995462,0.796740450237959,0.7978579831959711,0.39449981755679747,20542,228349,58255,4803
im0004.ppm.gz,0.5818094934692577,0.687163409545241,0.6763566968064074,0.26943135128755524,18263,188715,85914,13127
im0005.ppm.gz,0.6068954701100452,0.8638351076275153,0.8323086150105999,0.4703761104526899,23218,236290,37246,15039
im0044.ppm.gz,0.5309872525088147,0.8645887324749825,0.8359822661530635,0.357001208087347,15662,271895,42584,13834
im0077.ppm.gz,0.7281378903948144,0.8211175353939342,0.8109369757658658,0.45751682387462855,24713,226658,49378,9227
im0081.ppm.gz,0.7936924682883624,0.6698629891001814,0.6824884376471498,0.3376326288947648,25091,186520,91925,6522
im0082.ppm.gz,0.7204443110177124,0.8802945132130714,0.8631542351657336,0.5303015236390556,23998,244140,33199,9312
im0139.ppm.gz,0.9227471591743254,0.4417412551160607,0.49460155402963496,0.2863716927058416,31426,121853,153994,2631
im0162.ppm.gz,0.6815440689198144,0.9102495390815932,0.8879879763655598,0.5422312437391259,20569,254757,25119,9611
im0163.ppm.gz,0.6713993465848371,0.9729272844734764,0.9412116093020866,0.7060995777338921,21989,271077,7543,10762
im0235.ppm.gz,0.7682493368700265,0.6885186112994017,0.6982416189009795,0.38307299588662425,28963,186897,84551,8737
im0236.ppm.gz,0.7232056730192664,0.6933959126353524,0.6970969130627583,0.37219661749216765,27740,187626,82964,10617
im0239.ppm.gz,0.5186623280741571,0.9440803128618558,0.894086382580809,0.5350936583164071,18968,259269,15357,17603
im0240.ppm.gz,0.9136870659214742,0.45479213174885935,0.5183312017354984,0.34439082435380447,39072,121012,145070,3691
im0255.ppm.gz,0.8511991135266338,0.43532608495550457,0.48625542803970223,0.28866560492457455,32263,118235,153366,5640
im0291.ppm.gz,0.7503968624521431,0.5188717553595785,0.5348913089127014,0.18251503262036034,16072,149502,138627,5346
im0319.ppm.gz,0.18996985475472733,0.9816190084344785,0.935012342492054,0.2560579196217494,3466,286299,5361,14779
im0324.ppm.gz,0.08145500866919075,0.9894067421929988,0.9068967291342431,0.13719530365337623,2302,279732,2995,25959
