image,sensitivity,specificity,accuracy,f1,TP,TN,FP,FN
im0001.ppm.gz,0.7700819550874286,0.76533050746656,0.7658464959066432,0.4166713358360081,26028,212331,65106,7771
im0002.ppm.gz,0.7018153453410864,0.7509332744396792,0.7464491027267783,0.33572197864635894,19794,210811,69921,8410
im0003.ppm.gz,0.4565792069441704,0.8736549385214443,0.8397686801368173,0.3164861612515042,11572,250393,36211,13773
im0004.ppm.gz,0.31841350748646063,0.9432361476755914,0.8791447589855532,0.35086179660897954,9995,259040,15589,21395
im0005.ppm.gz,0.6406670674647776,0.8883401087973795,0.8579506274996552,0.5253456221198156,24510,242993,30543,13747
im0044.ppm.gz,0.5126457824789802,0.8775212335322867,0.8462330111199942,0.3637741477614454,15121,275962,38517,14375
im0077.ppm.gz,0.8578668238067177,0.8162123780956108,0.8207732211526053,0.5117587091784722,29116,225304,50732,4824
im0081.ppm.gz,0.7295732768164995,0.8953006877480293,0.8784033954937464,0.5502564714302756,23064,249292,29153,8549
im0082.ppm.gz,0.7747223056139297,0.849909316756749,0.8418472295098326,0.5123185960175498,25806,235713,41626,7504
im0139.ppm.gz,0.771119006371671,0.8481658310585216,0.8396987454179359,0.5139234065869552,26262,233964,41883,7795
im0162.ppm.gz,0.8019549370444002,0.872479240806643,0.8656145986531465,0.5374085464012524,24203,244186,35690,5977
im0163.ppm.gz,0.7401911392018564,0.8792692556169693,0.8646405734638101,0.5349604439981904,24242,244982,33638,8509
im0235.ppm.gz,0.7177718832891247,0.8807616928472488,0.8608854011670786,0.5572086031690467,27060,239081,32367,10640
im0236.ppm.gz,0.776051307453659,0.8305480616430763,0.8237820726532382,0.5223380360777707,29767,224738,45852,8590
im0239.ppm.gz,0.5620300237893413,0.9081186777653973,0.8674473082966738,0.4991379100998082,20554,249393,25233,16017
im0240.ppm.gz,0.7805813436849613,0.7978104494103322,0.7954248895076819,0.5137676809653537,33380,212283,53799,9383
im0255.ppm.gz,0.8663694166688652,0.8061936443532977,0.8135629911083541,0.532311009166876,32838,218963,52638,5065
im0291.ppm.gz,0.4675039686245214,0.9602712673837066,0.9261759926602422,0.4670460375950371,10013,276682,11447,11405
im0319.ppm.gz,0.31444231296245545,0.9622128505794418,0.9240767331924299,0.3278004742450647,5737,280639,11021,12508
im0324.ppm.gz,0.14486394678178408,0.9587658766230321,0.8848026290403488,0.18603594392565834,4094,271069,11658,24167
