image,sensitivity,specificity,accuracy,f1,TP,TN,FP,FN
im0001.ppm.gz,0.8451433474363147,0.4097903307777982,0.4570679484378414,0.25266463225863517,28565,113691,163746,5234
im0002.ppm.gz,0.6596227485463055,0.6605552626704473,0.6604701297356087,0.26184192933195405,18604,185439,95293,9600
im0003.ppm.gz,0.6402840797001381,0.6947983977892842,0.6903692590776056,0.2515091634701073,16228,199132,87472,9117
im0004.ppm.gz,0.3627906976744186,0.8682877627635829,0.8164362343514618,0.2884863837872071,11388,238457,36172,20002
im0005.ppm.gz,0.7565674255691769,0.7141400035095928,0.7193458480466207,0.39814572815934635,28944,195343,78193,9313
im0044.ppm.gz,0.7134526715486845,0.7748975289287997,0.7696286067301402,0.3468886507871095,21044,243689,70790,8452
im0077.ppm.gz,0.8958750736593989,0.5209465432045095,0.56199834825922,0.309346735713341,30406,143800,132236,3534
im0081.ppm.gz,0.7213488121975137,0.7635547415108909,0.7592514948816028,0.37926389142980693,22804,212608,65837,8809
im0082.ppm.gz,0.8649354548183729,0.5759197227941256,0.6069100496058252,0.3205942081397613,28811,159725,117614,4499
im0139.ppm.gz,0.7839210734944358,0.7132178345242108,0.7209877897671537,0.38177359273002864,26698,196739,79108,7359
im0162.ppm.gz,0.896156394963552,0.6886656948077006,0.7088622700415409,0.3746995379638545,27046,192741,87135,3134
im0163.ppm.gz,0.8812555341821624,0.6752925131002799,0.6969563639516847,0.379555900396494,28862,188150,90470,3889
im0235.ppm.gz,0.8129708222811671,0.657249270578527,0.6762392122866717,0.37981758247205494,30649,178409,93039,7051
im0236.ppm.gz,0.8800740412441015,0.49117853579215787,0.539461461027296,0.3218078514366337,33757,132908,137682,4600
im0239.ppm.gz,0.7370594186650625,0.6487695993824328,0.6591451717079535,0.3369733034134877,26955,178169,96457,9616
im0240.ppm.gz,0.6438276079788602,0.6670687983403613,0.6638507989444543,0.34657166954091717,27532,177495,88587,15231
im0255.ppm.gz,0.8713294462179775,0.68293562983936,0.7060070306038048,0.4205955018975574,33026,185486,86115,4877
im0291.ppm.gz,0.5253525072369035,0.8918019359384165,0.8664467754492856,0.3524786592528781,11252,256954,31175,10166
im0319.ppm.gz,0.5845985201425048,0.8431769869025578,0.8279537277552799,0.2857602143335566,10666,245921,45739,7579
im0324.ppm.gz,0.288135593220339,0.8741223866132347,0.8208709017711294,0.22621643770922173,8143,247138,35589,20118
